Time (milliseconds),X,Y,Z
3536198,0,-12,1016
3536330,24,-16,1012
3536334,24,-16,1012
3536338,24,-16,1012
3536342,28,-20,988
3536346,28,-20,988
3536350,28,-20,988
3536354,28,-20,988
3536361,36,-16,1008
3536381,36,-8,1012
3536401,52,-8,1028
3536421,56,-4,1016
3536450,68,4,1024
3536462,68,4,1012
3536482,80,0,1000
3536503,88,12,1012
3536523,84,4,1020
3536544,88,4,1008
3536564,64,0,1024
3536584,84,8,1016
3536604,100,8,1016
3536624,96,4,1008
3536645,96,12,1008
3536665,92,4,1008
3536685,80,8,1012
3536705,88,8,1028
3536734,52,-4,1064
3536746,116,-4,992
3536766,140,-180,1364
3536787,248,16,684
3536808,32,68,136
3536828,-1964,816,-2040
3536848,-8,-80,-328
3536868,176,-52,-848
3536889,-584,344,1028
3536909,4,0,976
3536929,-8,96,1024
3536949,48,-108,1008
3536969,20,4,1008
3536998,16,-4,1052
3537010,40,8,1036
3537030,16,-4,1004
3537051,4,-12,948
3537072,16,16,1084
3537092,40,-20,972
3537111,36,20,1012
3537131,12,4,1020
3537152,24,4,1012
3537172,20,-8,992
3537192,12,-12,1016
3537213,8,8,984
3537233,12,12,1004
3537253,20,4,1012
3537278,20,4,1016
3537294,28,-4,992
3537314,32,12,996
3537335,28,4,1012
3537355,16,0,1012
3537375,24,-4,996
3537396,24,4,988
3537416,16,0,1016
3537436,16,-8,1016
3537457,28,0,1012
3537477,16,0,1004
3537497,20,12,1000
3537517,16,-12,1020
3537538,16,-4,1016
3537562,20,0,1024
3537578,24,0,1016
3537599,16,-8,1016
3537619,12,0,1024
3537639,16,0,1012
3537660,20,0,1012
3537680,28,0,1016
3537700,20,0,1012
3537721,20,8,1016
3537741,16,0,1016
3537761,20,0,1012
3537781,20,0,1016
3537801,16,0,1004
3537822,20,4,1012
3537846,24,-4,1008
3537862,20,-4,1012
3537883,12,4,1008
3537903,28,-4,1004
3537924,16,-4,1008
3537944,20,4,1004
3537964,24,0,1000
3537985,16,-4,1016
3538005,12,0,1012
3538025,24,8,1008
3538045,20,8,1024
3538065,20,0,1024
3538086,24,0,1016
3538106,28,4,1020
3538130,24,8,1016
3538147,24,0,1020
3538167,24,4,1016
3538188,24,0,1016
3538208,24,0,1016
3538228,20,-8,1016
3538249,24,0,1012
3538269,24,-4,1016
3538289,16,4,1016
3538309,24,4,1016
3538329,12,4,1012
3538349,20,0,1020
3538370,24,4,1004
3538390,16,4,1016
3538418,16,0,1024
3538430,12,4,1012
3538452,20,8,1012
3538472,16,4,1012
3538492,8,4,1012
3538512,12,4,1016
3538532,12,4,1016
3538552,20,-4,1004
3538573,24,0,1024
3538593,24,0,1012
3538613,16,-4,1028
3538634,24,4,1004
3538654,28,0,1020
3538674,24,0,1012
3538695,20,8,1024
3538718,20,0,1004
3538735,24,-4,1008
3538755,20,0,1012
3538776,20,-4,1016
3538796,12,-4,1012
3538816,20,4,1016
3538837,20,0,1008
3538857,20,4,1004
3538877,24,-4,1012
3538897,24,-4,1008
3538918,20,8,1012
3538938,16,-4,1008
3538958,16,-4,1008
3538986,12,0,1004
3538999,16,4,1008
3539019,16,-4,1012
